,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
75,30097.0,0.3824294104803572,0.7129425117735153,0.8588089328997371,0.0792540953081868,0.5521885562871907,0.7071428588728768,0.707142858872877,0.3739837288879616,4.0,15.0,8.0,14.0,8.0,8.0,13.0,47.0,40.0,36.0,41.0,44.0,42.0,7.0
76,30098.0,0.3215265090710187,0.6463156666374472,0.6900138526337778,0.1498047484450922,0.4665958966482564,0.8410714247877382,0.8410714247877382,0.6767790138575422,7.0,14.0,13.0,16.0,7.0,20.0,6.0,23.0,49.0,33.0,42.0,47.0,32.0,5.0
77,30099.0,0.3930091314905929,0.8787902998495568,0.6275912302219357,0.068856953545982,0.5500521458613825,0.3425000034216106,0.34250000342161063,0.4739272087939263,21.0,19.0,11.0,18.0,14.0,17.0,4.0,22.0,30.0,46.0,41.0,31.0,43.0,3.0
78,30101.0,0.4289674867319525,0.6432487037907302,0.7258359255685131,0.0834494285916258,0.8312629366059111,0.3450000073929641,0.34500000739296416,0.3255179895145135,26.0,23.0,18.0,24.0,21.0,25.0,11.0,48.0,30.545454545454547,40.0,38.0,43.0,69.0,3.0
79,30102.0,0.3352974595699865,0.8098717073783376,0.9999062724879565,0.0593528852945042,0.7616420593310999,0.656345055890203,0.6563450558902031,0.00029098955715314904,4.0,13.0,8.0,17.0,4.0,37.0,4.0,21.0,48.0,47.0,43.0,56.0,36.0,3.0
80,30103.0,0.3915744495499015,0.798498961323503,0.8027289463309281,0.0917524329083683,0.6309645007517736,0.7922791209400616,0.7922791209400616,0.0004814152551855163,12.0,13.0,7.0,10.0,0.0,40.0,0.0,12.0,46.0,29.0,41.0,59.0,21.0,8.0
81,30104.0,0.3856288174836145,0.7012635908656012,0.6652244412579313,0.053532686553293,0.4856714891140848,0.9139285729861012,0.9139285729861011,0.6521438177720188,12.0,18.0,6.0,11.0,12.0,29.0,11.0,35.0,41.0,44.0,44.0,40.0,44.0,4.0
82,30105.0,0.4007147814537355,0.5327028414676306,0.6834969565980451,0.1992312851666013,0.4375484137775114,0.5840714293706375,0.5840714293706376,0.5876982006218966,17.0,26.0,14.0,24.0,17.0,6.0,14.0,37.0,29.0,47.0,44.0,33.0,48.0,3.0
83,30106.0,0.2400093316456513,0.6255613788245734,0.9768038253931233,0.1098508808643122,0.0933076146865663,0.1850000064725526,0.18500000647255266,0.5923166803838621,16.0,9.0,6.0,20.0,5.0,25.0,0.0,22.0,24.0,54.0,50.0,47.0,45.0,1.0
84,30109.0,0.423495123238937,0.6183309474294436,0.7248922979784764,0.0354803626026974,0.599386897501623,0.3689285796405182,0.36892857964051834,0.4418977539669522,7.0,9.0,4.0,22.0,4.0,29.0,9.0,33.0,44.0,39.0,44.0,56.0,48.0,4.0
85,30110.0,0.4585845862811077,0.5883333182118562,0.5506073019620374,0.026369623504652,0.4174277070651084,0.6257142872029026,0.6257142872029025,0.6380407043334666,16.0,17.0,16.0,10.0,11.0,11.0,7.0,29.454545454545453,30.0,40.0,46.0,39.0,38.0,3.0
86,30111.0,0.425728128031439,0.3904880495407447,0.5496887176582755,0.1362343043199371,0.6179521048978478,0.541785716398539,0.5417857163985391,0.36053519512635224,16.0,10.0,11.0,15.0,9.0,27.0,0.0,29.0,40.0,34.0,41.0,58.0,47.0,3.0
87,30112.0,0.3550673955915006,0.8327542942068904,0.7077021462755474,0.1063573913864628,0.6872422323903496,0.7274000002317373,0.7274000002317373,0.0003668378579787603,11.0,20.0,10.0,17.0,13.0,16.0,5.0,41.0,33.0,41.0,46.0,38.0,51.0,2.0
88,30113.0,0.3949714205545049,0.992196751330585,0.9960538922503271,0.0582041225922996,0.0,0.5167857164827946,0.4207738110938485,1.0,9.0,11.0,7.0,6.0,3.0,8.0,0.0,13.0,37.0,40.0,44.0,49.0,33.0,2.0
89,30114.0,0.4440927912611204,0.7343618771040499,0.8277938417830122,0.0896538217003699,0.6200424171668605,0.8062351641750201,0.8062351641750201,0.0005160895142518328,11.0,10.0,11.0,13.0,6.0,28.0,3.0,28.0,41.0,45.0,48.0,50.0,31.0,3.0
90,30116.0,0.0442391858569143,0.5002815400346087,0.9616851582747531,0.1652708860174792,0.4770474730897386,0.91285714174845,0.91285714174845,0.740437122807282,8.0,16.0,9.0,14.0,4.0,22.0,3.0,41.0,41.0,40.0,46.0,52.0,35.0,3.0
